Scenario,Algorithm,Run,Schedule
Small,RL_PPO,9,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,9,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,9,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 4}"
Small,SA_Repair,9,"{'Stream_A': 3, 'Stream_B': 5, 'Stream_C': 10}"
Small,Z3_Only,9,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,GA,10,"{'Stream_A': 4, 'Stream_B': 6, 'Stream_C': 2}"
Small,GA_Repair,10,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 10}"
Small,RL_PPO,10,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,RL_PPO_Repair,10,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Small,SA,10,"{'Stream_A': 1, 'Stream_B': 3, 'Stream_C': 4}"
Small,SA_Repair,10,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 5}"
Small,Z3_Only,10,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0}"
Medium,GA,1,"{'Stream_A': 6, 'Stream_B': 0, 'Stream_C': 10, 'Stream_D': 5, 'Stream_E': 4}"
Medium,GA_Repair,1,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 8, 'Stream_D': 2, 'Stream_E': 12}"
Medium,RL_PPO,1,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 0}"
Medium,RL_PPO_Repair,1,"{'Stream_A': 3, 'Stream_B': 7, 'Stream_C': 7, 'Stream_D': 3, 'Stream_E': 1}"
Medium,SA,1,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2, 'Stream_D': 6, 'Stream_E': 14}"
Medium,SA_Repair,1,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 12, 'Stream_D': 0, 'Stream_E': 5}"
Medium,Z3_Only,1,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 5}"
Medium,GA,2,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 8, 'Stream_D': 8, 'Stream_E': 5}"
Medium,GA_Repair,2,"{'Stream_A': 5, 'Stream_B': 1, 'Stream_C': 8, 'Stream_D': 7, 'Stream_E': 14}"
Medium,RL_PPO,2,"{'Stream_A': 4, 'Stream_B': 1, 'Stream_C': 1, 'Stream_D': 1, 'Stream_E': 1}"
Medium,RL_PPO_Repair,2,"{'Stream_A': 5, 'Stream_B': 5, 'Stream_C': 8, 'Stream_D': 4, 'Stream_E': 2}"
Medium,SA,2,"{'Stream_A': 2, 'Stream_B': 5, 'Stream_C': 9, 'Stream_D': 1, 'Stream_E': 12}"
Medium,SA_Repair,2,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 7, 'Stream_D': 9, 'Stream_E': 0}"
Medium,Z3_Only,2,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 5}"
Medium,GA,3,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 4, 'Stream_D': 1, 'Stream_E': 10}"
Medium,GA_Repair,3,"{'Stream_A': 7, 'Stream_B': 1, 'Stream_C': 4, 'Stream_D': 5, 'Stream_E': 2}"
Medium,RL_PPO,3,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 0}"
Medium,RL_PPO_Repair,3,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 4, 'Stream_D': 1, 'Stream_E': 10}"
Medium,SA,3,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 5, 'Stream_D': 9, 'Stream_E': 8}"
Medium,SA_Repair,3,"{'Stream_A': 3, 'Stream_B': 5, 'Stream_C': 0, 'Stream_D': 2, 'Stream_E': 10}"
Medium,Z3_Only,3,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2, 'Stream_D': 4, 'Stream_E': 0}"
Medium,GA,4,"{'Stream_A': 1, 'Stream_B': 4, 'Stream_C': 4, 'Stream_D': 1, 'Stream_E': 7}"
Medium,GA_Repair,4,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 2, 'Stream_D': 5, 'Stream_E': 14}"
Medium,RL_PPO,4,"{'Stream_A': 7, 'Stream_B': 0, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 0}"
Medium,RL_PPO_Repair,4,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 3, 'Stream_D': 6, 'Stream_E': 0}"
Medium,SA,4,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 9, 'Stream_D': 8, 'Stream_E': 6}"
Medium,SA_Repair,4,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 8, 'Stream_D': 2, 'Stream_E': 12}"
Medium,Z3_Only,4,"{'Stream_A': 2, 'Stream_B': 4, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 5}"
Medium,GA,5,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 12, 'Stream_D': 9, 'Stream_E': 14}"
Medium,GA_Repair,5,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 11, 'Stream_D': 8, 'Stream_E': 13}"
Medium,RL_PPO,5,"{'Stream_A': 5, 'Stream_B': 0, 'Stream_C': 0, 'Stream_D': 0, 'Stream_E': 0}"
Medium,RL_PPO_Repair,5,"{'Stream_A': 5, 'Stream_B': 5, 'Stream_C': 3, 'Stream_D': 2, 'Stream_E': 0}"
Medium,SA,5,"{'Stream_A': 0, 'Stream_B': 4, 'Stream_C': 7, 'Stream_D': 8, 'Stream_E': 13}"
Medium,SA_Repair,5,"{'Stream_A': 0, 'Stream_B': 5, 'Stream_C': 11, 'Stream_D': 0, 'Stream_E': 5}"
Medium,Z3_Only,5,"{'Stream_A': 0, 'Stream_B': 3, 'Stream_C': 3, 'Stream_D': 0, 'Stream_E': 5}"
Medium,GA,6,"{'Stream_A': 0, 'Stream_B': 2, 'Stream_C': 12, 'Stream_D': 8, 'Stream_E': 3}"
