Scenario,Algorithm,Run,Seed,Penalty,Feasible,Z3_Verified,Collision_Count,Deadline_Violations,Total_Deadline_Lateness,Total_Latency,Max_Latency,Train_Time,Inference_or_Search_Time
Small,GA,10,111,10,False,False,0,1,1,15,7,-,0.07596230506896973
Small,GA_Repair,10,111,0,True,True,0,0,0,15,7,-,0.08179259300231934
Small,RL_PPO,10,111,0,True,True,0,0,0,15,7,17.013988494873047,0.003439664840698242
Small,RL_PPO_Repair,10,111,0,True,True,0,0,0,15,7,21.37200927734375,0.0036482810974121094
Small,SA,10,111,0,True,True,0,0,0,15,7,-,0.0023338794708251953
Small,SA_Repair,10,111,0,True,True,0,0,0,15,7,-,0.0021429061889648438
Small,Z3_Only,10,111,0,True,True,0,0,0,15,7,-,0.004575967788696289
Medium,GA,1,11,10,False,False,0,1,1,30,9,-,0.10968828201293945
Medium,GA_Repair,1,11,0,True,True,0,0,0,30,9,-,0.0962371826171875
Medium,RL_PPO,1,11,120,False,False,3,0,0,30,9,20.182446479797363,0.0044820308685302734
Medium,RL_PPO_Repair,1,11,20,False,False,0,1,2,30,9,18.107120990753174,0.0053253173828125
Medium,SA,1,11,0,True,True,0,0,0,30,9,-,0.011647939682006836
Medium,SA_Repair,1,11,0,True,True,0,0,0,30,9,-,0.04767107963562012
Medium,Z3_Only,1,11,0,True,True,0,0,0,30,9,-,0.015712261199951172
Medium,GA,2,22,0,True,True,0,0,0,30,9,-,0.21156096458435059
Medium,GA_Repair,2,22,20,False,False,0,1,2,30,9,-,0.20247530937194824
Medium,RL_PPO,2,22,160,False,False,4,0,0,30,9,20.18965768814087,0.004957437515258789
Medium,RL_PPO_Repair,2,22,30,False,False,0,1,3,30,9,20.919687271118164,0.0048236846923828125
Medium,SA,2,22,0,True,True,0,0,0,30,9,-,0.012306928634643555
Medium,SA_Repair,2,22,0,True,True,0,0,0,30,9,-,0.04234457015991211
Medium,Z3_Only,2,22,0,True,True,0,0,0,30,9,-,0.01054072380065918
Medium,GA,3,33,0,True,True,0,0,0,30,9,-,0.12258291244506836
Medium,GA_Repair,3,33,10,False,False,0,1,1,30,9,-,0.11459922790527344
Medium,RL_PPO,3,33,120,False,False,3,0,0,30,9,19.62790822982788,0.005232572555541992
Medium,RL_PPO_Repair,3,33,0,True,True,0,0,0,30,9,19.11616611480713,0.003966093063354492
Medium,SA,3,33,0,True,True,0,0,0,30,9,-,0.0022857189178466797
Medium,SA_Repair,3,33,0,True,True,0,0,0,30,9,-,0.04147005081176758
Medium,Z3_Only,3,33,0,True,True,0,0,0,30,9,-,0.014306068420410156
Medium,GA,4,44,0,True,True,0,0,0,30,9,-,0.12604618072509766
Medium,GA_Repair,4,44,0,True,True,0,0,0,30,9,-,0.09110379219055176
Medium,RL_PPO,4,44,140,False,False,3,1,2,30,9,17.347903728485107,0.005840778350830078
Medium,RL_PPO_Repair,4,44,0,True,True,0,0,0,30,9,18.411200046539307,0.016817331314086914
Medium,SA,4,44,0,True,True,0,0,0,30,9,-,0.018823862075805664
Medium,SA_Repair,4,44,0,True,True,0,0,0,30,9,-,0.04314827919006348
Medium,Z3_Only,4,44,0,True,True,0,0,0,30,9,-,0.01172947883605957
Medium,GA,5,55,0,True,True,0,0,0,30,9,-,0.10715222358703613
Medium,GA_Repair,5,55,0,True,True,0,0,0,30,9,-,0.10635495185852051
Medium,RL_PPO,5,55,120,False,False,3,0,0,30,9,18.737478256225586,0.004263401031494141
Medium,RL_PPO_Repair,5,55,30,False,False,0,1,3,30,9,21.23851490020752,0.004701137542724609
Medium,SA,5,55,0,True,True,0,0,0,30,9,-,0.022306442260742188
Medium,SA_Repair,5,55,0,True,True,0,0,0,30,9,-,0.00788736343383789
Medium,Z3_Only,5,55,0,True,True,0,0,0,30,9,-,0.009524345397949219
Medium,GA,6,66,0,True,True,0,0,0,30,9,-,0.09601902961730957
Medium,GA_Repair,6,66,20,False,False,1,0,0,30,9,-,0.12997174263000488
Medium,RL_PPO,6,66,100,False,False,3,0,0,30,9,19.333182334899902,0.005572795867919922
Medium,RL_PPO_Repair,6,66,0,True,True,0,0,0,30,9,19.837719917297363,0.0047113895416259766
Medium,SA,6,66,0,True,True,0,0,0,30,9,-,0.00446629524230957
Medium,SA_Repair,6,66,0,True,True,0,0,0,30,9,-,0.02827620506286621
Medium,Z3_Only,6,66,0,True,True,0,0,0,30,9,-,0.008618354797363281
Medium,GA,7,77,0,True,True,0,0,0,30,9,-,0.10315537452697754
Medium,GA_Repair,7,77,0,True,True,0,0,0,30,9,-,0.11198282241821289
Medium,RL_PPO,7,77,120,False,False,3,0,0,30,9,17.060990571975708,0.003595590591430664
Medium,RL_PPO_Repair,7,77,0,True,True,0,0,0,30,9,19.781800985336304,0.004531383514404297
Medium,SA,7,77,0,True,True,0,0,0,30,9,-,0.030356168746948242
Medium,SA_Repair,7,77,0,True,True,0,0,0,30,9,-,0.02211785316467285
Medium,Z3_Only,7,77,0,True,True,0,0,0,30,9,-,0.008327960968017578
Medium,GA,8,88,0,True,True,0,0,0,30,9,-,0.09931039810180664
Medium,GA_Repair,8,88,10,False,False,0,1,1,30,9,-,0.10292935371398926
Medium,RL_PPO,8,88,60,False,False,2,0,0,30,9,20.354281663894653,0.010474920272827148
Medium,RL_PPO_Repair,8,88,20,False,False,0,1,2,30,9,18.295210123062134,0.004397153854370117
Medium,SA,8,88,0,True,True,0,0,0,30,9,-,0.01331782341003418
Medium,SA_Repair,8,88,0,True,True,0,0,0,30,9,-,0.016597747802734375
Medium,Z3_Only,8,88,0,True,True,0,0,0,30,9,-,0.0074901580810546875
Medium,GA,9,99,0,True,True,0,0,0,30,9,-,0.08353018760681152
Medium,GA_Repair,9,99,0,True,True,0,0,0,30,9,-,0.09122776985168457
Medium,RL_PPO,9,99,140,False,False,4,0,0,30,9,16.98627495765686,0.0042264461517333984
